drug,n_samples,r2,rmse
Acetalax,956,0.7311,1.0367
CHIR-99021,117,0.6663,0.9772
Irinotecan,614,0.6125,1.3249
AZD5991,477,0.607,1.867
Olaparib,615,0.5965,0.792
Nutlin-3a (-),616,0.5942,1.1521
Camptothecin,616,0.5934,1.16
Rucaparib,601,0.5636,0.6791
Tozasertib,152,0.555,1.4747
Vorinostat,610,0.5524,0.8081
Niraparib,573,0.5346,1.0174
Selumetinib,1082,0.5306,1.379
GSK2830371,489,0.5209,0.7641
Lenalidomide,602,0.5195,0.7345
EPZ5676,611,0.5156,0.7265
Schweinfurthin A,478,0.4984,1.6124
Uprosertib,1069,0.4957,1.1847
Topotecan,478,0.4871,1.3769
BI-2536,581,0.4866,1.6388
Cisplatin,509,0.481,1.4475
MIRA-1,614,0.479,0.9993
MK-1775,615,0.4786,1.0858
Ribociclib,609,0.4771,0.7527
Fludarabine,478,0.4769,1.4094
Gemcitabine,613,0.4765,2.4416
Palbociclib,616,0.476,1.2027
Temozolomide,614,0.4705,1.0564
N30652-18-1,498,0.4689,0.7816
Cytarabine,498,0.4633,1.5699
Linsitinib,615,0.4626,0.8952
LMP744,478,0.4613,1.8094
Lestaurtinib,601,0.4596,1.2765
GSK2276186C,478,0.4576,1.065
GSK626616AC,478,0.4528,0.6349
Alisertib,602,0.4521,1.6666
Wee1 Inhibitor,608,0.4512,1.2465
Crizotinib,614,0.4492,1.3003
I-BRD9,609,0.4468,0.9714
5-Fluorouracil,616,0.4441,1.36
Leflunomide,573,0.4438,0.7381
VE821,602,0.4342,1.2486
PCI-34051,571,0.4324,1.0023
AZ960,573,0.4263,1.3556
Oxaliplatin,1093,0.4259,1.3915
Bosutinib,602,0.4256,1.3099
Axitinib,611,0.4255,1.2324
N25720-51-A1,498,0.4224,1.0848
Sorafenib,609,0.4219,1.0083
630600,478,0.42,1.3872
Dabrafenib,607,0.4199,1.2879
EPZ004777,614,0.4178,0.8222
Talazoparib,608,0.4124,1.7857
UNC0638,489,0.4075,1.0446
CDK9_5038,480,0.4044,1.6284
Serdemetan,602,0.403,1.0092
Veliparib,602,0.3966,0.6823
ICL-SIRT078,495,0.3953,1.0043
AZD5438,480,0.391,1.3575
Venetoclax,609,0.391,1.5238
Nilotinib,607,0.39,1.6943
Mitoxantrone,478,0.3884,1.7552
PRT062607,571,0.3875,1.116
WEHI-539,612,0.3862,1.3367
50869,478,0.3852,1.1522
GSK2256098C,478,0.3845,0.7551
MK-8776,604,0.3826,1.2767
N29087-69-1,498,0.3822,0.799
THR-101,489,0.3805,0.7628
Vinorelbine,606,0.3788,1.7233
BX795,117,0.3777,0.8146
Dinaciclib,570,0.3762,1.2068
Entinostat,575,0.3749,1.3314
N27922-53-1,498,0.3731,0.7586
BDILV000379a,478,0.3722,0.6401
CZC24832,571,0.3714,0.7867
RO-3306,609,0.3702,1.2384
Refametinib,600,0.3687,1.5422
PRIMA-1MET,573,0.3666,1.5676
SB505124,144,0.3664,1.1402
VE-822,571,0.3656,1.4879
Elephantin,478,0.3617,1.2678
Picolinici-acid,570,0.3615,0.6673
Podophyllotoxin bromide,478,0.3601,1.4358
PD0325901,616,0.3565,1.4135
JQ1,602,0.3557,1.5687
I-BET-762,571,0.3555,1.344
CDK9_5576,480,0.3545,1.2989
ABT737,608,0.3517,1.6481
GSK2830371A,478,0.3502,0.8351
BEN,478,0.3491,1.6466
PF-4708671,152,0.3478,0.8783
Teniposide,478,0.3472,1.6916
GSK2801,478,0.3468,0.7699
KRAS (G12C) Inhibitor-12,571,0.3457,1.2366
AZD5582,566,0.3445,2.0481
PFI3,571,0.3442,0.6922
LMB_AB1,478,0.344,0.8086
BMS-345541,572,0.344,1.074
Ibrutinib,568,0.3408,1.4052
LMB_AB2,478,0.3407,0.676
OTX015,571,0.3392,1.6092
THR-103,489,0.3372,0.9718
SCH772984,613,0.3371,1.4593
TAF1_5496,479,0.3354,1.3009
AZD5153,480,0.3338,1.6696
GSK3337463A,478,0.3337,0.8249
BMS-754807,603,0.3333,1.5527
CCT007093,597,0.3328,0.7093
PFI-1,603,0.3324,1.0739
Bromosporine,478,0.3299,1.1118
Luminespib,614,0.3288,1.6561
Vinblastine,496,0.3287,1.7698
GDC0810,609,0.3278,0.7743
Motesanib,602,0.3273,0.9807
GSK1904529A,614,0.325,1.0103
JAK1_8709,480,0.324,1.0912
776928,477,0.3239,1.0863
Navitoclax,616,0.3231,1.5895
GSK269962A,152,0.323,0.9131
P22077,609,0.3215,1.1531
Dasatinib,611,0.3203,1.9275
RVX-208,571,0.3192,0.9042
Eg5_9814,477,0.3171,1.4613
CPI-637,496,0.315,0.965
POMHEX,496,0.3132,0.9823
SN-38,608,0.3121,1.6706
AMG-319,603,0.312,0.9996
Osimertinib,608,0.3108,1.0705
Wnt-C59,571,0.3092,0.9445
AZD1208,479,0.3073,0.8235
SGC0946,603,0.3067,0.6849
ZM447439,600,0.305,1.299
Cyclophosphamide,609,0.3023,0.6836
AZD5363,609,0.3016,1.1492
Epirubicin,609,0.3011,1.328
Vismodegib,602,0.3003,0.7954
ERK_2440,480,0.3001,1.3315
Dihydrorotenone,477,0.3001,1.268
Trametinib,615,0.2971,1.6067
Nelarabine,478,0.2944,0.829
VTP-A,492,0.2943,0.8191
Pevonedistat,608,0.2939,1.9532
GSK-LSD1-2HCl ,495,0.2935,0.7852
AGI-6780,570,0.2932,0.8968
Ruxolitinib,573,0.2912,1.0763
Dacarbazine,478,0.288,0.7688
GSK-LSD1,478,0.2877,0.7685
EHT-1864,598,0.2848,0.8568
GSK2606414,567,0.2832,1.0371
ML323,568,0.2816,0.8075
AZD7762,611,0.2788,1.3345
Bleomycin,478,0.2785,1.2102
Zoledronate,478,0.2783,0.8345
ERK_6604,480,0.2773,1.2388
MK-2206,616,0.2773,1.3851
5-azacytidine,495,0.2731,1.243
PAK_5339,479,0.2694,0.7167
Afuresertib,609,0.2693,1.153
LGK974,613,0.2678,1.0643
PD173074,615,0.2668,1.2426
THR-102,489,0.2662,0.8658
AZD4547,610,0.2661,1.3861
Gallibiscoquinazole,478,0.2635,0.787
BPD-00008900,498,0.263,0.9784
VX-11e,605,0.2606,1.1311
PLX-4720,613,0.26,1.2027
Sapitinib,614,0.2582,1.4617
Telomerase Inhibitor IX,609,0.2581,1.1529
123829,478,0.2571,1.6047
ascorbate (vitamin C),492,0.257,0.9492
Sabutoclax,570,0.257,1.1199
GW441756,607,0.254,0.8358
IWP-2,572,0.2534,0.7284
Lapatinib,614,0.2519,1.3691
Daporinad,357,0.2514,2.229
SB216763,610,0.2483,0.9549
L-Oxonoreleagnine,478,0.2482,0.7432
UNC0379,496,0.2449,1.1667
667880,478,0.2418,1.116
MIM1,498,0.24,1.011
Romidepsin,478,0.2397,0.8246
IOX2,117,0.2397,0.7548
MG-132,617,0.2359,0.6704
729189,478,0.2319,0.8187
Taselisib,614,0.2317,1.5362
615590,478,0.2316,0.7473
Alpelisib,614,0.2314,1.223
Erlotinib,606,0.2305,1.2133
Doramapimod,609,0.2299,0.9135
HKMTI-1-005,496,0.2293,1.2023
PBD-288,496,0.2289,1.1948
JNK Inhibitor VIII,604,0.2289,0.7998
BIBR-1532,605,0.2278,0.8781
Sepantronium bromide,609,0.2273,1.3754
NVP-ADW742,609,0.2267,1.342
765771,478,0.224,1.0308
720427,478,0.2231,0.7911
AZD3759,614,0.2212,1.0506
CT7033-2,496,0.2151,0.9256
IRAK4_4710,480,0.2106,1.0562
Foretinib,605,0.2096,1.3859
UMI-77,498,0.2078,1.1383
VTP-B,492,0.2062,0.8008
CCT-018159,117,0.2057,1.2863
Mycophenolic acid,492,0.2053,1.3874
YK-4-279,609,0.2051,1.4439
JAK_8517,480,0.2047,1.5715
Ipatasertib,609,0.2039,1.2308
